066130,,01,01,24.0
066130,,01,02,23.9
066130,,01,03,39.8
066130,,01,04,40.5
066130,,01,05,27.5
066130,,01,06,26.4
066130,,01,07,30.1
066130,,01,08,39.2
066130,,01,09,49.1
066130,,01,10,59.5
066130,,01,11,43.3
066130,,01,12,34.7
066130,,01,13,34.6
066130,,01,14,40.5
066130,,01,15,37.3
066130,,01,16,37.9
066130,,01,17,33.9
066130,,01,18,32.1
066130,,01,19,32.8
066130,,01,20,34.3
066130,,01,21,34.7
066130,,01,22,34.4
066130,,01,23,33.3
066130,,01,24,34.3
066130,,01,25,29.4
066130,,01,26,26.7
066130,,01,27,33.9
066130,,01,28,31.8
066130,,01,29,35.1
066130,,01,30,35.1
066130,,01,31,32.3
066130,,02,01,33.5
066130,,02,02,33.5
066130,,02,03,30.0
066130,,02,04,29.2
066130,,02,05,28.5
066130,,02,06,29.2
066130,,02,07,27.2
066130,,02,08,25.9
066130,,02,09,24.7
066130,,02,10,25.2
066130,,02,11,25.1
066130,,02,12,28.0
066130,,02,13,29.0
066130,,02,14,33.1
066130,,02,15,33.4
066130,,02,16,32.4
066130,,02,17,32.6
066130,,02,18,32.4
066130,,02,19,33.7
066130,,02,20,35.3
066130,,02,21,33.4
066130,,02,22,33.6
066130,,02,23,31.8
066130,,02,24,37.4
066130,,02,25,36.1
066130,,02,26,31.6
066130,,02,27,36.3
066130,,02,28,35.4
066130,,03,01,39.0
066130,,03,02,45.4
066130,,03,03,41.1
066130,,03,04,36.9
066130,,03,05,34.7
066130,,03,06,34.0
066130,,03,07,35.7
066130,,03,08,39.7
066130,,03,09,43.5
066130,,03,10,45.1
066130,,03,11,44.1
066130,,03,12,38.8
066130,,03,13,37.0
066130,,03,14,31.4
066130,,03,15,36.9
066130,,03,16,42.3
066130,,03,17,47.6
066130,,03,18,49.8
066130,,03,19,45.8
066130,,03,20,45.4
066130,,03,21,43.9
066130,,03,22,41.1
066130,,03,23,45.9
066130,,03,24,46.8
066130,,03,25,44.0
066130,,03,26,42.2
066130,,03,27,43.7
066130,,03,28,43.9
066130,,03,29,51.0
066130,,03,30,51.8
066130,,03,31,54.2
066130,,04,01,42.6
066130,,04,02,43.9
066130,,04,03,41.7
066130,,04,04,42.1
066130,,04,05,40.0
066130,,04,06,37.7
066130,,04,07,39.7
066130,,04,08,42.7
066130,,04,09,49.7
066130,,04,10,50.6
066130,,04,13,58.5
066130,,04,14,55.6
066130,,04,15,51.2
066130,,04,16,58.2
066130,,04,17,53.7
066130,,04,18,45.7
066130,,04,19,47.3
066130,,04,20,50.0
066130,,04,21,52.9
066130,,04,22,55.2
066130,,04,23,51.7
066130,,04,24,56.3
066130,,04,25,55.8
066130,,04,26,58.1
066130,,04,27,57.0
066130,,04,28,47.2
066130,,04,29,50.2
066130,,04,30,54.9
066130,,05,01,52.5
066130,,05,02,56.6
066130,,05,03,58.5
066130,,05,04,61.6
066130,,05,05,61.6
066130,,05,06,55.5
066130,,05,07,59.4
066130,,05,08,59.0
066130,,05,09,59.7
066130,,05,10,61.9
066130,,05,11,64.6
066130,,05,12,69.4
066130,,05,13,70.9
066130,,05,14,66.4
066130,,05,15,46.4
066130,,05,16,56.7
066130,,05,17,60.7
066130,,05,18,63.1
066130,,05,19,54.2
066130,,05,20,46.9
066130,,05,21,46.3
066130,,05,22,52.3
066130,,05,23,53.9
066130,,05,24,58.8
066130,,05,25,57.6
066130,,05,26,52.5
066130,,05,27,54.7
066130,,05,28,60.4
066130,,05,29,64.9
066130,,05,30,62.2
066130,,05,31,63.8
066130,,06,01,64.2
066130,,06,02,67.5
066130,,06,03,69.6
066130,,06,04,71.4
066130,,06,05,75.6
066130,,06,06,74.3
066130,,06,07,71.0
066130,,06,08,65.5
066130,,06,09,58.4
066130,,06,10,61.9
066130,,06,11,66.9
066130,,06,12,68.8
066130,,06,13,69.6
066130,,06,14,65.4
066130,,06,15,61.6
066130,,06,16,62.4
066130,,06,17,64.6
066130,,06,18,61.1
066130,,06,19,61.6
066130,,06,20,57.0
066130,,06,21,56.5
066130,,06,22,64.8
066130,,06,23,57.4
066130,,06,24,60.0
066130,,06,25,63.1
066130,,06,26,63.8
066130,,06,29,74.5
066130,,06,30,73.0
066130,,07,01,76.0
066130,,07,02,80.5
066130,,07,03,80.9
066130,,07,06,80.3
066130,,07,07,81.8
066130,,07,08,68.2
066130,,07,09,66.9
066130,,07,10,66.7
066130,,07,11,74.3
066130,,07,12,74.0
